  step    steps_total    steps_local    running_reward    loss
------  -------------  -------------  ----------------  ------
     0            333            333            -230.1     nan
     1            917            584            -433.2     nan
     2           1264            347            -127.6     nan
     3           1422            158            -432.6     nan
     4           1562            140            -456.3     nan
     5           1920            358            -122.3     nan
     6           2154            234            -388.2     nan
     7           2324            170            -401.3     nan
     8           2591            267            -388.7     nan
     9           2973            382            -253.9     nan
    10           3250            277            -383.6     nan
    11           3529            279            -271.2     nan
    12           4129            600             132.1     nan
    13           4466            337            -202.3     nan
    14           5066            600            -303.0     nan
    15           5180            114            -491.6     nan
    16           5462            282            -323.3     nan
    17           5755            293            -494.5     nan
    18           6003            248            -333.9     nan
    19           6603            600            -209.1     nan
    20           6925            322            -366.5     nan
    21           7204            279            -388.4     nan
    22           7667            463            -460.0     nan
    23           7840            173            -450.3     nan
    24           8440            600            -434.0     nan
    25           9040            600             -27.8     nan
    26           9209            169            -435.0     nan
    27           9376            167            -443.0     nan
    28           9976            600            -580.4     nan
    29          10576            600              61.5     nan
    30          10697            121            -486.6     nan
    31          10952            255            -427.6     nan
    32          11123            171            -446.0     nan
    33          11297            174            -436.1     nan
    34          11897            600            -329.3     nan
    35          12070            173            -452.9  0.94588
