  step    steps_total    steps_local    running_reward    loss
------  -------------  -------------  ----------------  ------
     0            255            255            -404.7     nan
     1            579            324            -400.1     nan
     2            829            250            -298.6     nan
     3           1429            600            -446.2     nan
     4           1605            176            -411.5     nan
     5           1765            160            -453.4     nan
     6           1925            160            -453.0     nan
     7           2498            573             -82.2     nan
     8           2788            290            -234.9     nan
     9           3043            255            -412.6     nan
    10           3518            475            -301.8     nan
    11           3891            373            -229.5     nan
    12           4280            389            -109.2     nan
    13           4732            452            -127.1     nan
    14           4915            183            -418.5     nan
    15           5469            554            -100.9     nan
    16           5676            207            -406.2     nan
    17           5909            233            -312.2     nan
    18           6509            600            -646.3     nan
    19           6627            118            -492.4     nan
    20           7058            431             -55.5     nan
    21           7172            114            -485.1     nan
    22           7630            458            -292.0     nan
    23           7788            158            -443.2     nan
    24           8388            600            -125.9     nan
    25           8557            169            -473.6     nan
    26           9157            600             -89.0     nan
    27           9430            273            -276.6     nan
    28           9652            222            -372.9     nan
    29           9954            302            -391.9     nan
    30          10341            387            -652.5     nan
    31          10921            580            -620.0     nan
    32          11171            250            -349.9     nan
    33          11503            332            -311.7     nan
    34          12036            533             375.8  0.45889
    35          12172            136            -518.5  1.68688
    36          12731            559            -312.5  0.80047
    37          12901            170            -444.3  0.40269
    38          13017            116            -558.1  0.51921
    39          13165            148            -407.0  0.35544
    40          13328            163            -376.9  0.68901
    41          13474            146            -585.1  0.56918
    42          13753            279            -494.4  0.69280
    43          13928            175            -485.2  0.66247
    44          14147            219            -448.1  1.48435
    45          14294            147            -500.2  0.70725
    46          14443            149            -565.9  1.47857
    47          14662            219            -441.2  1.55454
    48          14842            180            -602.2  0.53038
    49          15059            217            -540.2  0.27562
    50          15500            441            -342.4  0.27562
    51          15840            340            -354.9  0.67341
    52          16007            167            -496.5  0.91276
    53          16557            550             320.8  0.78635
    54          16740            183            -668.6  0.25676
    55          17038            298            -351.6  0.51465
    56          17179            141            -593.4  0.20079
    57          17463            284            -533.7  0.65277
    58          17639            176            -568.9  0.49623
    59          17746            107            -450.3  1.63456
    60          17955            209            -419.5  0.60326
    61          18149            194            -668.0  0.59227
    62          18314            165            -504.9  0.33508
    63          18547            233            -504.1  0.20597
    64          19147            600             495.2  0.19809
    65          19747            600              13.4  0.97683
    66          19862            115            -516.9  0.18690
    67          19989            127            -547.5  1.28110
    68          20135            146            -410.4  0.62269
    69          20735            600             -92.1  0.77426
    70          21305            570             -28.0  0.65170
    71          21856            551             -15.2  0.35338
    72          22456            600             -62.9  0.61510
    73          22646            190            -578.2  0.59480
    74          22905            259            -303.0  0.63688
    75          23016            111            -505.0  0.23236
    76          23616            600             113.5  0.22661
    77          23908            292            -498.1  1.68951
    78          24137            229            -486.2  1.64085
    79          24571            434             -99.8  0.65213
    80          24735            164            -386.9  0.24518
    81          24997            262            -551.5  0.88977
    82          25182            185            -481.8  0.25838
    83          25482            300            -170.2  0.35773
    84          25903            421            -264.6  0.27653
    85          26164            261            -562.0  0.65250
    86          26764            600              37.5  0.73016
    87          27364            600               9.1  0.71663
    88          27495            131            -469.5  0.26582
    89          27958            463            -256.9  0.57720
    90          28172            214            -505.0  0.30314
    91          28260             88            -500.3  0.30496
    92          28802            542             105.9  0.33948
    93          28901             99            -490.1  0.71227
    94          29010            109            -465.5  0.76178
    95          29501            491            -128.5  1.12249
    96          29641            140            -443.0  1.00557
    97          29885            244            -422.1  1.24982
    98          30079            194            -517.8  0.89871
    99          30219            140            -437.8  0.51642
   100          30718            499            -148.1  0.37861
   101          31064            346            -640.6  0.73885
   102          31370            306            -483.5  0.86088
   103          31864            494              35.8  1.06635
   104          31970            106            -485.1  1.55176
   105          32533            563             315.2  0.77649
